CPF,RG,Nome,Nascimento,Cidade
84319161782,85352800,Natália Ramos,07/02/1965,Ribeirão Preto
65307611566,33683661,Laura Teixeira,20/04/2008,São José do Rio Preto
88226941614,11212043,Sofia Bezerra,14/03/2000,Rio Branco
91621150191,66213662,Daniel Dias,05/06/1974,Curitiba
17378554435,18278602,Larissa Rocha,23/05/1971,São José dos Campos
95892863019,73880498,Juliana Tavares,03/10/1976,Porto Alegre
32485879245,15791087,Letícia Alves,24/12/1980,Cuiabá
67431810534,49584143,João Teixeira,07/05/1953,São Luís
04528104631,43143481,Larissa Araújo,19/03/1953,Feira de Santana
25956163430,83729161,Sofia Rodrigues,30/06/1950,Caxias do Sul
09917658638,77732915,Marcos Silva,26/12/1979,Natal
74442061278,75574430,Patrícia Barbosa,24/06/1963,Feira de Santana
10912226977,09445635,Maria Carvalho,04/10/2016,Palmas
65710050572,94188210,Amanda Oliveira,19/12/1998,Feira de Santana
66512152440,89339270,Renata Souza,30/01/1975,São José do Rio Preto
42207820252,92210170,Isabella Fernandes,11/06/1955,Aracaju
62946769864,14551212,Alexandre Moura,13/08/2007,Feira de Santana
17660334270,77169978,Gabriel Pereira,20/11/1971,São José do Rio Preto
17630987231,22350058,Fernando Fernandes,16/10/1970,Curitiba
62208466112,85130622,Juliana Monteiro,13/04/2010,Joinville
67398642060,66255555,Renata Vieira,01/03/1956,São José dos Campos
62167475922,04889855,Larissa Souza,20/05/1966,Juiz de Fora
14037038495,53489140,Rodrigo Gomes,22/11/1973,Manaus
48599068042,92194748,Marcos Ramos,03/02/2002,Joinville
12175981283,52897244,Natália Almeida,02/04/2019,Recife
00902628012,38851248,Thiago Andrade,15/10/2004,Vitória
79955282121,26927224,Vanessa Alves,18/10/2007,João Pessoa
11685557651,49922415,André Costa,03/07/2013,Caxias do Sul
56799812875,34182599,Gabriel Monteiro,20/04/1993,Porto Alegre
28018789729,77058393,Cristina Cardoso,03/05/2001,Manaus
30288808620,77529910,Daniel Rocha,01/04/1957,Aracaju
86067963263,67367669,Matheus Mendes,06/06/1995,Palmas
88330812199,64011171,Larissa Araújo,18/07/1976,São José do Rio Preto
18683445332,00062741,Natália Marques,09/03/1979,São José dos Campos
17285898329,94319333,Vanessa Rocha,12/03/2001,São José dos Campos
84137347838,27201908,Renata Castro,27/02/1982,Joinville
28236500631,44126328,Claudia Cavalcanti,22/02/2022,Natal
55240660629,22520047,Renata Correia,17/03/2003,Salvador
75673611477,75196722,Diego Teixeira,06/12/1984,Campinas
91945609047,67181615,Cristina Silva,27/06/1960,Porto Velho
25409295008,13152003,Alexandre Bezerra,29/03/2002,Salvador
11413059043,37019695,Pedro Machado,11/03/1973,São José dos Campos
73420196256,69920445,Larissa Rocha,19/05/1997,Guarulhos
02951328465,55907194,Luciano Dantas,01/07/1963,Rio de Janeiro
56760548352,68598520,Carolina Rodrigues,11/09/1960,Curitiba
09663551413,53013562,Bruno Almeida,19/05/1968,Natal
